donor	method	state	gene	fields	eligible	called	correct	allele_matches
HG00658	all	complete	DQB1	4	1	1	1	2
HG00658	all	complete	DRB1	4	0	0	0	0
HG00658	hprc/sampled	complete	A	2	1	1	1	2
HG00658	hprc/sampled	complete	B	2	1	1	1	2
HG00658	hprc/sampled	complete	C	2	1	1	1	2
HG00658	hprc/sampled	complete	DPA1	2	1	1	1	2
HG00658	hprc/sampled	complete	DPB1	2	1	1	1	2
HG00658	hprc/sampled	complete	DQA1	2	1	1	1	2
HG00658	hprc/sampled	complete	DQB1	2	1	1	1	2
HG00658	hprc/sampled	complete	DRB1	2	1	1	1	2
HG00658	hprc/sampled	complete	A	4	1	1	1	2
HG00658	hprc/sampled	complete	B	4	1	1	1	2
HG00658	hprc/sampled	complete	C	4	1	1	1	2
HG00658	hprc/sampled	complete	DPA1	4	0	0	0	0
HG00658	hprc/sampled	complete	DPB1	4	0	0	0	0
HG00658	hprc/sampled	complete	DQA1	4	1	1	1	2
HG00658	hprc/sampled	complete	DQB1	4	1	1	1	2
HG00658	hprc/sampled	complete	DRB1	4	0	0	0	0
HG00658	hprc/unsampled	complete	A	2	1	1	1	2
HG00658	hprc/unsampled	complete	B	2	1	1	1	2
HG00658	hprc/unsampled	complete	C	2	1	1	1	2
HG00658	hprc/unsampled	complete	DPA1	2	1	1	1	2
HG00658	hprc/unsampled	complete	DPB1	2	1	1	1	2
HG00658	hprc/unsampled	complete	DQA1	2	1	1	1	2
HG00658	hprc/unsampled	complete	DQB1	2	1	1	1	2
HG00658	hprc/unsampled	complete	DRB1	2	1	1	1	2
HG00658	hprc/unsampled	complete	A	4	1	1	1	2
HG00658	hprc/unsampled	complete	B	4	1	1	1	2
HG00658	hprc/unsampled	complete	C	4	1	1	1	2
HG00658	hprc/unsampled	complete	DPA1	4	0	0	0	0
HG00658	hprc/unsampled	complete	DPB1	4	0	0	0	0
HG00658	hprc/unsampled	complete	DQA1	4	1	1	1	2
HG00658	hprc/unsampled	complete	DQB1	4	1	1	1	2
HG00658	hprc/unsampled	complete	DRB1	4	0	0	0	0
HG00658	hprc_asian/sampled	complete	A	2	1	1	1	2
