donor	population	superpopulation	family	fold	experimental_HLA_labels	paired_RCCX_annotations	previous_structural_read_evaluation	selection_sha256
NA18940	JPT	EAS	NA18940	1	1	1	1	e70ec8d9100e16b5c6dd7c4cff97e41a2f9b0fb2289d9254262aefdea0afeed8
NA18948	JPT	EAS	NA18948	1	1	1	1	cb38289922690985b6ced6916eab45d099423fbd2c112a1ed039f8c8902d135f
NA18960	JPT	EAS	NA18960	1	1	1	1	8599c33d20eca9da5501ecbcd43e4c36747b33b21ec51c5b26dcfeeece794667
NA18971	JPT	EAS	NA18971	1	1	1	1	3c9cb55bfbdd00e13af3aa55d0870a6a43960cd485b55d1e68d5c07fcd7117bc
HG02083	KHV	EAS	HG02083	1	0	1	0	62ebd794c8f1cff7c89c68c4bcf3246649eb0b0a10cb2a6a3b80d7d5ed7bca9f
HG02514	KHV	EAS	HG02512	1	0	1	0	889b2ac7e060df6a740c194a0538654399ddbbdf276bbfd31f8c701e154086aa
HG02392	CDX	EAS	HG02392	2	0	1	1	1e5540e2e58ff5c344aa4427db2bbbe6c270e62709ea76b9003ba4b82d4fa9da
NA18570	CHB	EAS	NA18570	2	1	1	1	799b6f1dd842d5d2676d0765608ceef00ebeeb883dbbea3fb079bf8eb277e093
HG00438	CHS	EAS	HG00436	2	0	1	1	5a2924a4e334637523d4b17c1dfa9c70aaaf0d7285665f0fab3526d93badeea8
HG00706	CHS	EAS	HG00704	2	0	1	0	d1c155811689535d21a7536f5bdb4c0b933c56533e8a61586668a920101410d0
NA18967	JPT	EAS	NA18967	2	1	1	1	d0a2d4467fc1d890f165c22acef986e72d45c1d275499b536d6257d9cc03fe01
NA18976	JPT	EAS	NA18976	2	1	1	1	eb21992245c659d010d0c922b0c743eb12146616a843279807fd68acb39c8f93
NA19066	JPT	EAS	NA19066	2	1	1	1	8acf607b9f489aad5e2adb33f4eb5ac58cd3c44a304a65e58514e00a3a4c8b66
NA19088	JPT	EAS	NA19088	2	1	1	1	4a8cd1b564cc789e674521421f6e81c95855dade4f9260b263c83ea07e1841c7
HG02071	KHV	EAS	HG02071	2	0	1	1	8d3c0e2321794a45b3f2411b4846bdafff7bed669c1a4be2b134cdf0386c49cd
HG02129	KHV	EAS	HG02129	2	0	1	0	7650eb212686e98575025e66fa21b8ee869187bd15aac34a8b40d1c87328ad2e
HG02155	CDX	EAS	HG02155	3	0	1	1	60aa8049cfa69b75466e63ab70b560c61fcbd0b0191aeaf23a6c60a06695f8be
NA18565	CHB	EAS	NA18565	3	0	1	1	99837dd8e268275111742ef5bfb68a32ad903421cf3835ed5509403255f5c180
HG00408	CHS	EAS	HG00406	3	0	1	0	5e880eccd8eeab0e9ec7803888dc1644c1bf5a16422cea4cfea20dd6dc7c28fa
HG00544	CHS	EAS	HG00542	3	0	1	0	da0f31272cab1a49ed8172b29a411a5df8d92532f04a05d6e9d172d9ebdd44b1
NA18945	JPT	EAS	NA18945	3	1	1	1	903ae10d960fd4bc7646fa7585cbda56d55a408ed692fbc8242ec43871d785fe
NA18952	JPT	EAS	NA18952	3	1	1	1	fab7adf0e0eac05de74b59995ef57241b627e8545302022ee8681914d56abf1c
NA18959	JPT	EAS	NA18959	3	1	1	1	6908848879b5f2442b13c11ba61e7db82bf4b922076d98c05fd21dd3ce871b8e
NA19007	JPT	EAS	NA19007	3	1	1	1	d18392937181ff44a726b7c4079dd0299fee8b1a0edd839af3540ba48288119d
HG02056	KHV	EAS	HG02056	3	0	1	0	acc91570cd34e1bd6f072fd675edbfa9fbd17367e61819e03dc14b4f587da852
HG02080	KHV	EAS	HG02080	3	0	1	0	7794391cc8b726605770a7afb9453d937b2723630023d96a76c060cc2bbfed44
HG02391	CDX	EAS	HG02391	4	0	1	1	978b005a0b0231d35e047b8761dd6faae991e793d087407032e7f9c36a002e7d
NA18747	CHB	EAS	NA18747	4	1	1	1	d140b145ad0f0baa300cab51ec1877a91e34d7148b52e67fd48eef4329d6d278
HG00597	CHS	EAS	HG00595	4	0	1	0	e2557e0bf1f7c5f918b5a82eb34004c1e1ef08d50ffc5d5cf288ebf48dbd1242
HG00673	CHS	EAS	HG00671	4	0	1	1	8d8a2b444730ab41e3f8f01ab3a5b68d79ce913b540a493f8dba9b9d361892e8
NA18944	JPT	EAS	NA18944	4	1	1	1	d40d5506367709b57caa851b3a5b21b57846b19b25513cd4d384c235ba61a95e
NA18970	JPT	EAS	NA18970	4	1	1	1	bdb2d01bf53c3f09440cf0d2f0a12f968f1b85243c8ff8f6a2bea5f44c2c90e0
NA19087	JPT	EAS	NA19087	4	1	1	1	7163ccb3a8ad594311583815176bef2978516059cb8506a0668821fff254d478
HG02040	KHV	EAS	HG02040	4	0	1	1	0530e37a39f40f2c507b76840788ca93f81a5fe7845e12be9aed8ac6dc34d03f
HG02132	KHV	EAS	HG02132	4	0	1	0	7bf2d4d63772deaea03b855614e1a5fde6025efb16b5cb564710116743c8506a
HG02523	KHV	EAS	HG02521	4	0	1	0	b7013e7a91f0718f645963ea70333d64f33afd8b90b3b78b6b2cdb2a30468ea1
