donor	method	state
NA18952	T1K	complete
NA18952	hprc	complete
NA18952	hprc_asian	complete
NA18952	ipd_genome	complete
NA18952	genome_hprc	complete
NA18952	genome_hprc_asian	complete
NA21106	T1K	complete
NA21106	hprc	complete
NA21106	hprc_asian	complete
NA21106	ipd_genome	complete
NA21106	genome_hprc	complete
NA21106	genome_hprc_asian	complete
HG00609	T1K	complete
HG00609	hprc	complete
HG00609	hprc_asian	complete
HG00609	ipd_genome	complete
HG00609	genome_hprc	complete
HG00609	genome_hprc_asian	complete
HG02074	T1K	complete
HG02074	hprc	complete
HG02074	hprc_asian	complete
HG02074	ipd_genome	complete
HG02074	genome_hprc	complete
HG02074	genome_hprc_asian	complete
HG03017	T1K	complete
HG03017	hprc	complete
HG03017	hprc_asian	complete
HG03017	ipd_genome	complete
HG03017	genome_hprc	complete
HG03017	genome_hprc_asian	complete
HG03784	T1K	complete
HG03784	hprc	complete
HG03784	hprc_asian	complete
HG03784	ipd_genome	complete
HG03784	genome_hprc	complete
HG03784	genome_hprc_asian	complete
HG04157	T1K	complete
HG04157	hprc	complete
HG04157	hprc_asian	complete
HG04157	ipd_genome	complete
HG04157	genome_hprc	complete
HG04157	genome_hprc_asian	complete
HG04204	T1K	complete
HG04204	hprc	complete
HG04204	hprc_asian	complete
HG04204	ipd_genome	complete
HG04204	genome_hprc	complete
HG04204	genome_hprc_asian	complete
NA18747	T1K	complete
NA18747	hprc	complete
NA18747	hprc_asian	complete
NA18747	ipd_genome	complete
NA18747	genome_hprc	complete
NA18747	genome_hprc_asian	complete
NA19088	T1K	complete
NA19088	hprc	complete
NA19088	hprc_asian	complete
NA19088	ipd_genome	complete
NA19088	genome_hprc	complete
NA19088	genome_hprc_asian	complete
HG01530	T1K	complete
HG01530	hprc	complete
HG01530	hprc_asian	complete
HG01530	ipd_genome	complete
HG01530	genome_hprc	complete
HG01530	genome_hprc_asian	complete
NA20806	T1K	complete
NA20806	hprc	complete
NA20806	hprc_asian	complete
NA20806	ipd_genome	complete
NA20806	genome_hprc	complete
NA20806	genome_hprc_asian	complete
HG00321	T1K	complete
HG00321	hprc	complete
HG00321	hprc_asian	complete
HG00321	ipd_genome	complete
HG00321	genome_hprc	complete
HG00321	genome_hprc_asian	complete
HG00232	T1K	complete
HG00232	hprc	complete
HG00232	hprc_asian	complete
HG00232	ipd_genome	complete
HG00232	genome_hprc	complete
HG00232	genome_hprc_asian	complete
HG01786	T1K	complete
HG01786	hprc	complete
HG01786	hprc_asian	complete
HG01786	ipd_genome	complete
HG01786	genome_hprc	complete
HG01786	genome_hprc_asian	complete
NA20503	T1K	complete
NA20503	hprc	complete
NA20503	hprc_asian	complete
NA20503	ipd_genome	complete
NA20503	genome_hprc	complete
NA20503	genome_hprc_asian	complete
HG00344	T1K	complete
HG00344	hprc	complete
HG00344	hprc_asian	complete
HG00344	ipd_genome	complete
HG00344	genome_hprc	complete
HG00344	genome_hprc_asian	complete
HG00128	T1K	complete
HG00128	hprc	complete
HG00128	hprc_asian	complete
HG00128	ipd_genome	complete
HG00128	genome_hprc	complete
HG00128	genome_hprc_asian	complete
HG01784	T1K	complete
HG01784	hprc	complete
HG01784	hprc_asian	complete
HG01784	ipd_genome	complete
HG01784	genome_hprc	complete
HG01784	genome_hprc_asian	complete
NA20809	T1K	complete
NA20809	hprc	complete
NA20809	hprc_asian	complete
NA20809	ipd_genome	complete
NA20809	genome_hprc	complete
NA20809	genome_hprc_asian	complete
HG00272	T1K	complete
HG00272	hprc	complete
HG00272	hprc_asian	complete
HG00272	ipd_genome	complete
HG00272	genome_hprc	complete
HG00272	genome_hprc_asian	complete
HG00133	T1K	complete
HG00133	hprc	complete
HG00133	hprc_asian	complete
HG00133	ipd_genome	complete
HG00133	genome_hprc	complete
HG00133	genome_hprc_asian	complete
NA20805	T1K	complete
NA20805	hprc	complete
NA20805	hprc_asian	complete
NA20805	ipd_genome	complete
NA20805	genome_hprc	complete
NA20805	genome_hprc_asian	complete
HG00320	T1K	complete
HG00320	hprc	complete
HG00320	hprc_asian	complete
HG00320	ipd_genome	complete
HG00320	genome_hprc	complete
HG00320	genome_hprc_asian	complete
HG00140	T1K	complete
HG00140	hprc	complete
HG00140	hprc_asian	complete
HG00140	ipd_genome	complete
HG00140	genome_hprc	complete
HG00140	genome_hprc_asian	complete
NA20762	T1K	complete
NA20762	hprc	complete
NA20762	hprc_asian	complete
NA20762	ipd_genome	complete
NA20762	genome_hprc	complete
NA20762	genome_hprc_asian	complete
HG03516	T1K	complete
HG03516	hprc	complete
HG03516	hprc_asian	complete
HG03516	ipd_genome	complete
HG03516	genome_hprc	complete
HG03516	genome_hprc_asian	complete
NA19185	T1K	complete
NA19185	hprc	complete
NA19185	hprc_asian	complete
NA19185	ipd_genome	complete
NA19185	genome_hprc	complete
NA19185	genome_hprc_asian	complete
HG02984	T1K	complete
HG02984	hprc	complete
HG02984	hprc_asian	complete
HG02984	ipd_genome	complete
HG02984	genome_hprc	complete
HG02984	genome_hprc_asian	complete
HG01960	T1K	complete
HG01960	hprc	complete
HG01960	hprc_asian	complete
HG01960	ipd_genome	complete
HG01960	genome_hprc	complete
HG01960	genome_hprc_asian	complete
NA20282	T1K	complete
NA20282	hprc	complete
NA20282	hprc_asian	complete
NA20282	ipd_genome	complete
NA20282	genome_hprc	complete
NA20282	genome_hprc_asian	complete
NA19468	T1K	complete
NA19468	hprc	complete
NA19468	hprc_asian	complete
NA19468	ipd_genome	complete
NA19468	genome_hprc	complete
NA19468	genome_hprc_asian	complete
HG03453	T1K	complete
