donor	arm	locus	gene	level	picks	quality	truth_haplotypes	called	correct	allele_matches	sources
HG00658	full-ens	HLA-DRB345	DRB3	cds_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	0	0	ipd_near,ipd_near
HG00658	full-ens	HLA-DRB345	DRB3	gene_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	0	0	0	ipd_near,ipd_near
HG00658	full-ens	HLA-DRB345	DRB4	two_field	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB4	g_group	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB4	cds_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB4	gene_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB5	two_field	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB5	g_group	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB5	cds_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DRB345	DRB5	gene_exact	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-A	A	two_field	HG01943.2,HIFI032161D.1	5.13	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-A	A	g_group	HG01943.2,HIFI032161D.1	5.13	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-A	A	cds_exact	HG01943.2,HIFI032161D.1	5.13	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-A	A	gene_exact	HG01943.2,HIFI032161D.1	5.13	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-B	B	two_field	HG02155.1,HG02165.1	1.99	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-B	B	g_group	HG02155.1,HG02165.1	1.99	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-B	B	cds_exact	HG02155.1,HG02165.1	1.99	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-B	B	gene_exact	HG02155.1,HG02165.1	1.99	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-C	C	two_field	HG02155.1,HIFI032069D.2	1.75	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-C	C	g_group	HG02155.1,HIFI032069D.2	1.75	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-C	C	cds_exact	HG02155.1,HIFI032069D.2	1.75	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-C	C	gene_exact	HG02155.1,HIFI032069D.2	1.75	HG00706.1,HG00706.2	1	0	1	backbone,backbone
HG00706	full-ens	HLA-DP	DPA1	two_field	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPA1	g_group	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPA1	cds_exact	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPA1	gene_exact	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPB1	two_field	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPB1	g_group	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPB1	cds_exact	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DP	DPB1	gene_exact	HIFI032453D.2,apr045.2	6.87	HG00706.1,HG00706.2	1	0	1	backbone,backbone
HG00706	full-ens	HLA-DQ	DQA1	two_field	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQA1	g_group	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQA1	cds_exact	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQA1	gene_exact	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	0	1	backbone,backbone
HG00706	full-ens	HLA-DQ	DQB1	two_field	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQB1	g_group	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQB1	cds_exact	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DQ	DQB1	gene_exact	HG02155.1,apr007.2	3.38	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB1	DRB1	two_field	HIFI032585D.2,NA18959.2	3.01	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB1	DRB1	g_group	HIFI032585D.2,NA18959.2	3.01	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB1	DRB1	cds_exact	HIFI032585D.2,NA18959.2	3.01	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB1	DRB1	gene_exact	HIFI032585D.2,NA18959.2	3.01	HG00706.1,HG00706.2	1	0	0	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB3	two_field	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB3	g_group	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB3	cds_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB3	gene_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB4	two_field	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
