stratum	endpoint	method	gene	donors	genotypes	called	correct	genotype_accuracy_pct	alleles	allele_matches	allele_accuracy_pct
SAS	assembly_exact_CDS_twofield	graph_HLA_full	DPA1	20	20	3	1	5.0	40	4	10.0
SAS	assembly_exact_CDS_twofield	graph_HLA_full	DPB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_full	DQA1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	graph_HLA_full	DQB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_full	DRB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	A	20	20	2	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	ALL	20	160	7	1	0.625	320	7	2.1875
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	B	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	C	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	DPA1	20	20	3	1	5.0	40	4	10.0
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	DPB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	DQA1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	DQB1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	graph_HLA_hprc	DRB1	20	20	0	0	0.0	40	0	0.0
