stratum	universe	variant_class	endpoint	baseline	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
SAS	all_truth	SV_length_site	all	hprc	20	3.942953020134232	3.0033557046979853	4.848993288590608	20	0	0
SAS	all_truth	SV_length_site	all	old_full	20	13.97651006711409	13.540268456375838	14.429530201342278	20	0	0
SAS	all_truth	SV_length_site	all	old_hprc	20	4.999999999999993	4.110738255033553	5.855704697986575	20	0	0
SAS	all_truth	SV_length_site	nonref	hprc	20	1.577970297029696	0.0628520711577138	3.0040427347817684	12	2	6
SAS	all_truth	SV_length_site	nonref	old_full	20	12.59282178217821	11.630770307305887	13.560970584703469	20	0	0
SAS	all_truth	SV_length_site	nonref	old_hprc	20	2.444306930693063	0.9738857839896753	3.8710627362358236	14	1	5
SAS	all_truth	small_complex	all	hprc	20	14.621300058038312	14.424550203134068	14.839531340684854	20	0	0
SAS	all_truth	small_complex	all	old_full	20	17.029309344167153	16.966627974463144	17.091700522344745	20	0	0
SAS	all_truth	small_complex	all	old_hprc	20	14.908879860708069	14.712122751015665	15.121009866511903	20	0	0
SAS	all_truth	small_complex	nonref	hprc	20	0.49141824751580687	-0.05988362878380113	1.0975367198967119	12	0	8
SAS	all_truth	small_complex	nonref	old_full	20	12.61065943992773	11.898915225477632	13.409074516164885	20	0	0
SAS	all_truth	small_complex	nonref	old_hprc	20	0.7073170731707323	0.1663963275699182	1.3237370717892563	16	0	4
SAS	all_truth	truth_SV_length	all	hprc	20	1.9657577679137561	0.32236746993958343	3.4653917034039194	14	1	5
SAS	all_truth	truth_SV_length	all	old_full	20	8.053265694356371	6.890241063723492	9.273670557717251	20	0	0
SAS	all_truth	truth_SV_length	all	old_hprc	20	2.0925808497146425	0.5151154388456717	3.5648941625985087	14	1	5
SAS	all_truth	truth_SV_length	nonref	hprc	20	1.9657577679137561	0.26040820058517183	3.4947974022727144	14	1	5
SAS	all_truth	truth_SV_length	nonref	old_full	20	8.053265694356371	6.870681520744288	9.258104577250531	20	0	0
SAS	all_truth	truth_SV_length	nonref	old_hprc	20	2.0925808497146425	0.5101635377609465	3.528706881574697	14	1	5
SAS	frozen_HPRC_sites	ALL	all	hprc	20	0.04028167685012907	-0.04642711844703107	0.1378358997697432	10	0	10
SAS	frozen_HPRC_sites	ALL	all	old_full	20	17.088395574323535	17.04657006819792	17.127953457193733	20	0	0
SAS	frozen_HPRC_sites	ALL	all	old_hprc	20	0.04193304866828562	-0.04468924964428106	0.1374576218445528	10	0	10
SAS	frozen_HPRC_sites	ALL	nonref	hprc	20	0.2145234465062651	-0.08578346914890872	0.521516996642214	11	0	9
SAS	frozen_HPRC_sites	ALL	nonref	old_full	20	13.172157971068387	12.551346292280973	13.831722764010738	20	0	0
SAS	frozen_HPRC_sites	ALL	nonref	old_hprc	20	0.21824216280540432	-0.08104791222147689	0.5272134858766757	12	0	8
SAS	frozen_HPRC_sites	SNV	all	hprc	20	0.02030004031415844	-0.04082582609784585	0.09216253344885156	9	0	11
SAS	frozen_HPRC_sites	SNV	all	old_full	20	17.35053023133468	17.315845263569432	17.384572781025028	20	0	0
SAS	frozen_HPRC_sites	SNV	all	old_hprc	20	0.02201553667874334	-0.03886598979549183	0.09226483541552752	9	0	11
SAS	frozen_HPRC_sites	SNV	nonref	hprc	20	0.12592312062109645	-0.11073947546722446	0.36324338584942717	11	0	9
SAS	frozen_HPRC_sites	SNV	nonref	old_full	20	13.434639904058576	12.817334265684908	14.089534100402236	20	0	0
SAS	frozen_HPRC_sites	SNV	nonref	old_hprc	20	0.12971028214353586	-0.10284197533759726	0.3575063640159581	11	0	9
SAS	frozen_HPRC_sites	SV_length_site	all	hprc	20	0.7790368271954673	-0.14154344288687587	1.6823091907207433	12	0	8
