donor	stratum	population	fold	universe	variant_class	arm	n	site_present	called	correct	nonref_n	nonref_correct
NA18620	EAS	CHB	0	frozen_HPRC_sites	truth_SV_length	old_hprc	85	85	85	62	85	62
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	full	50468	50468	50468	50364	12064	11978
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	hprc	50468	50468	50468	50367	12064	11973
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	linear	50468	50468	50468	50293	12064	11910
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	old_full	50468	50468	50468	50363	12064	11975
NA18620	EAS	CHB	0	frozen_threeway_SNV	ALL	old_hprc	50468	50468	50468	50368	12064	11974
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	full	50468	50468	50468	50364	12064	11978
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	hprc	50468	50468	50468	50367	12064	11973
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	linear	50468	50468	50468	50293	12064	11910
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	old_full	50468	50468	50468	50363	12064	11975
NA18620	EAS	CHB	0	frozen_threeway_SNV	SNV	old_hprc	50468	50468	50468	50368	12064	11974
NA18620	EAS	CHB	0	shared_new_sites	ALL	full	85080	85080	85080	84470	22797	22307
NA18620	EAS	CHB	0	shared_new_sites	ALL	hprc	85080	85080	85078	84336	22797	22149
NA18620	EAS	CHB	0	shared_new_sites	ALL	old_full	85080	70187	70186	69758	22797	18874
NA18620	EAS	CHB	0	shared_new_sites	ALL	old_hprc	85080	84869	84866	84133	22797	22095
NA18620	EAS	CHB	0	shared_new_sites	SNV	full	70175	70175	70175	69903	16881	16680
NA18620	EAS	CHB	0	shared_new_sites	SNV	hprc	70175	70175	70175	69862	16881	16626
NA18620	EAS	CHB	0	shared_new_sites	SNV	old_full	70175	57787	57787	57603	16881	14118
NA18620	EAS	CHB	0	shared_new_sites	SNV	old_hprc	70175	70020	70020	69709	16881	16590
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	full	287	287	287	241	169	124
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	hprc	287	287	286	238	169	120
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	old_full	287	234	233	201	169	104
NA18620	EAS	CHB	0	shared_new_sites	SV_length_site	old_hprc	287	282	280	235	169	118
NA18620	EAS	CHB	0	shared_new_sites	small_complex	full	14618	14618	14618	14326	5747	5503
NA18620	EAS	CHB	0	shared_new_sites	small_complex	hprc	14618	14618	14617	14236	5747	5403
NA18620	EAS	CHB	0	shared_new_sites	small_complex	old_full	14618	12166	12166	11954	5747	4652
NA18620	EAS	CHB	0	shared_new_sites	small_complex	old_hprc	14618	14567	14566	14189	5747	5387
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	full	87	87	87	64	87	64
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	hprc	87	87	87	63	87	63
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	old_full	87	73	73	57	87	57
NA18620	EAS	CHB	0	shared_new_sites	truth_SV_length	old_hprc	87	85	85	62	87	62
HG00706	EAS	CHS	0	all_truth	ALL	full	97372	96816	96816	96281	15959	15465
HG00706	EAS	CHS	0	all_truth	ALL	hprc	97372	85080	85079	84421	15959	15275
HG00706	EAS	CHS	0	all_truth	ALL	old_full	97372	79556	79554	79138	15959	12798
HG00706	EAS	CHS	0	all_truth	ALL	old_hprc	97372	84869	84868	84216	15959	15249
HG00706	EAS	CHS	0	all_truth	SNV	full	79844	79413	79413	79224	11834	11650
HG00706	EAS	CHS	0	all_truth	SNV	hprc	79844	70175	70175	69909	11834	11516
HG00706	EAS	CHS	0	all_truth	SNV	old_full	79844	65229	65229	65072	11834	9666
HG00706	EAS	CHS	0	all_truth	SNV	old_hprc	79844	70020	70020	69753	11834	11502
HG00706	EAS	CHS	0	all_truth	SV_length_site	full	298	296	296	251	139	94
HG00706	EAS	CHS	0	all_truth	SV_length_site	hprc	298	287	287	243	139	94
HG00706	EAS	CHS	0	all_truth	SV_length_site	old_full	298	242	242	213	139	78
HG00706	EAS	CHS	0	all_truth	SV_length_site	old_hprc	298	282	282	240	139	93
HG00706	EAS	CHS	0	all_truth	small_complex	full	17230	17107	17107	16806	3986	3721
HG00706	EAS	CHS	0	all_truth	small_complex	hprc	17230	14618	14617	14269	3986	3665
HG00706	EAS	CHS	0	all_truth	small_complex	old_full	17230	14085	14083	13853	3986	3054
HG00706	EAS	CHS	0	all_truth	small_complex	old_hprc	17230	14567	14566	14223	3986	3654
HG00706	EAS	CHS	0	all_truth	truth_SV_length	full	54	53	53	39	54	39
HG00706	EAS	CHS	0	all_truth	truth_SV_length	hprc	54	53	53	38	54	38
HG00706	EAS	CHS	0	all_truth	truth_SV_length	old_full	54	42	42	33	54	33
HG00706	EAS	CHS	0	all_truth	truth_SV_length	old_hprc	54	52	52	38	54	38
HG00706	EAS	CHS	0	frozen_HPRC_sites	ALL	full	84869	84869	84869	84360	15843	15390
HG00706	EAS	CHS	0	frozen_HPRC_sites	ALL	hprc	84869	84869	84868	84213	15843	15248
HG00706	EAS	CHS	0	frozen_HPRC_sites	ALL	old_full	84869	70187	70185	69795	15843	12762
HG00706	EAS	CHS	0	frozen_HPRC_sites	ALL	old_hprc	84869	84869	84868	84216	15843	15249
HG00706	EAS	CHS	0	frozen_HPRC_sites	SNV	full	70020	70020	70020	69853	11741	11590
HG00706	EAS	CHS	0	frozen_HPRC_sites	SNV	hprc	70020	70020	70020	69754	11741	11502
HG00706	EAS	CHS	0	frozen_HPRC_sites	SNV	old_full	70020	57787	57787	57655	11741	9632
HG00706	EAS	CHS	0	frozen_HPRC_sites	SNV	old_hprc	70020	70020	70020	69753	11741	11502
HG00706	EAS	CHS	0	frozen_HPRC_sites	SV_length_site	full	282	282	282	239	135	93
HG00706	EAS	CHS	0	frozen_HPRC_sites	SV_length_site	hprc	282	282	282	240	135	93
HG00706	EAS	CHS	0	frozen_HPRC_sites	SV_length_site	old_full	282	234	234	205	135	78
HG00706	EAS	CHS	0	frozen_HPRC_sites	SV_length_site	old_hprc	282	282	282	240	135	93
HG00706	EAS	CHS	0	frozen_HPRC_sites	small_complex	full	14567	14567	14567	14268	3967	3707
HG00706	EAS	CHS	0	frozen_HPRC_sites	small_complex	hprc	14567	14567	14566	14219	3967	3653
HG00706	EAS	CHS	0	frozen_HPRC_sites	small_complex	old_full	14567	12166	12164	11935	3967	3052
HG00706	EAS	CHS	0	frozen_HPRC_sites	small_complex	old_hprc	14567	14567	14566	14223	3967	3654
HG00706	EAS	CHS	0	frozen_HPRC_sites	truth_SV_length	full	52	52	52	39	52	39
HG00706	EAS	CHS	0	frozen_HPRC_sites	truth_SV_length	hprc	52	52	52	38	52	38
HG00706	EAS	CHS	0	frozen_HPRC_sites	truth_SV_length	old_full	52	42	42	33	52	33
HG00706	EAS	CHS	0	frozen_HPRC_sites	truth_SV_length	old_hprc	52	52	52	38	52	38
HG00706	EAS	CHS	0	frozen_threeway_SNV	ALL	full	50468	50468	50468	50397	8811	8750
HG00706	EAS	CHS	0	frozen_threeway_SNV	ALL	hprc	50468	50468	50468	50378	8811	8732
HG00706	EAS	CHS	0	frozen_threeway_SNV	ALL	linear	50468	50468	50468	50442	8811	8785
HG00706	EAS	CHS	0	frozen_threeway_SNV	ALL	old_full	50468	50468	50468	50395	8811	8750
HG00706	EAS	CHS	0	frozen_threeway_SNV	ALL	old_hprc	50468	50468	50468	50379	8811	8732
HG00706	EAS	CHS	0	frozen_threeway_SNV	SNV	full	50468	50468	50468	50397	8811	8750
HG00706	EAS	CHS	0	frozen_threeway_SNV	SNV	hprc	50468	50468	50468	50378	8811	8732
HG00706	EAS	CHS	0	frozen_threeway_SNV	SNV	linear	50468	50468	50468	50442	8811	8785
HG00706	EAS	CHS	0	frozen_threeway_SNV	SNV	old_full	50468	50468	50468	50395	8811	8750
HG00706	EAS	CHS	0	frozen_threeway_SNV	SNV	old_hprc	50468	50468	50468	50379	8811	8732
HG00706	EAS	CHS	0	shared_new_sites	ALL	full	85080	85080	85080	84568	15873	15417
HG00706	EAS	CHS	0	shared_new_sites	ALL	hprc	85080	85080	85079	84421	15873	15275
HG00706	EAS	CHS	0	shared_new_sites	ALL	old_full	85080	70187	70185	69795	15873	12762
HG00706	EAS	CHS	0	shared_new_sites	ALL	old_hprc	85080	84869	84868	84216	15873	15249
HG00706	EAS	CHS	0	shared_new_sites	SNV	full	70175	70175	70175	70008	11755	11604
HG00706	EAS	CHS	0	shared_new_sites	SNV	hprc	70175	70175	70175	69909	11755	11516
HG00706	EAS	CHS	0	shared_new_sites	SNV	old_full	70175	57787	57787	57655	11755	9632
HG00706	EAS	CHS	0	shared_new_sites	SNV	old_hprc	70175	70020	70020	69753	11755	11502
HG00706	EAS	CHS	0	shared_new_sites	SV_length_site	full	287	287	287	242	138	94
HG00706	EAS	CHS	0	shared_new_sites	SV_length_site	hprc	287	287	287	243	138	94
HG00706	EAS	CHS	0	shared_new_sites	SV_length_site	old_full	287	234	234	205	138	78
HG00706	EAS	CHS	0	shared_new_sites	SV_length_site	old_hprc	287	282	282	240	138	93
HG00706	EAS	CHS	0	shared_new_sites	small_complex	full	14618	14618	14618	14318	3980	3719
HG00706	EAS	CHS	0	shared_new_sites	small_complex	hprc	14618	14618	14617	14269	3980	3665
HG00706	EAS	CHS	0	shared_new_sites	small_complex	old_full	14618	12166	12164	11935	3980	3052
HG00706	EAS	CHS	0	shared_new_sites	small_complex	old_hprc	14618	14567	14566	14223	3980	3654
HG00706	EAS	CHS	0	shared_new_sites	truth_SV_length	full	53	53	53	39	53	39
HG00706	EAS	CHS	0	shared_new_sites	truth_SV_length	hprc	53	53	53	38	53	38
HG00706	EAS	CHS	0	shared_new_sites	truth_SV_length	old_full	53	42	42	33	53	33
HG00706	EAS	CHS	0	shared_new_sites	truth_SV_length	old_hprc	53	52	52	38	53	38
NA19087	EAS	JPT	0	all_truth	ALL	full	97372	96816	96816	96319	23886	23479
NA19087	EAS	JPT	0	all_truth	ALL	hprc	97372	85080	85076	84197	23886	23101
NA19087	EAS	JPT	0	all_truth	ALL	old_full	97372	79556	79556	79223	23886	19933
NA19087	EAS	JPT	0	all_truth	ALL	old_hprc	97372	84869	84865	83980	23886	23068
NA19087	EAS	JPT	0	all_truth	SNV	full	79844	79413	79413	79186	17629	17453
NA19087	EAS	JPT	0	all_truth	SNV	hprc	79844	70175	70175	69716	17629	17235
NA19087	EAS	JPT	0	all_truth	SNV	old_full	79844	65229	65229	65095	17629	14793
NA19087	EAS	JPT	0	all_truth	SNV	old_hprc	79844	70020	70020	69560	17629	17221
NA19087	EAS	JPT	0	all_truth	SV_length_site	full	298	296	296	272	167	143
NA19087	EAS	JPT	0	all_truth	SV_length_site	hprc	298	287	286	254	167	134
NA19087	EAS	JPT	0	all_truth	SV_length_site	old_full	298	242	242	225	167	116
NA19087	EAS	JPT	0	all_truth	SV_length_site	old_hprc	298	282	281	249	167	131
NA19087	EAS	JPT	0	all_truth	small_complex	full	17230	17107	17107	16861	6090	5883
NA19087	EAS	JPT	0	all_truth	small_complex	hprc	17230	14618	14615	14227	6090	5732
NA19087	EAS	JPT	0	all_truth	small_complex	old_full	17230	14085	14085	13903	6090	5024
NA19087	EAS	JPT	0	all_truth	small_complex	old_hprc	17230	14567	14564	14171	6090	5716
NA19087	EAS	JPT	0	all_truth	truth_SV_length	full	82	82	82	65	82	65
NA19087	EAS	JPT	0	all_truth	truth_SV_length	hprc	82	82	81	61	82	61
NA19087	EAS	JPT	0	all_truth	truth_SV_length	old_full	82	69	69	58	82	58
NA19087	EAS	JPT	0	all_truth	truth_SV_length	old_hprc	82	81	80	61	82	61
NA19087	EAS	JPT	0	frozen_HPRC_sites	ALL	full	84869	84869	84869	84376	23822	23450
NA19087	EAS	JPT	0	frozen_HPRC_sites	ALL	hprc	84869	84869	84865	83987	23822	23074
NA19087	EAS	JPT	0	frozen_HPRC_sites	ALL	old_full	84869	70187	70187	69856	23822	19931
NA19087	EAS	JPT	0	frozen_HPRC_sites	ALL	old_hprc	84869	84869	84865	83980	23822	23068
NA19087	EAS	JPT	0	frozen_HPRC_sites	SNV	full	70020	70020	70020	69796	17582	17438
NA19087	EAS	JPT	0	frozen_HPRC_sites	SNV	hprc	70020	70020	70020	69561	17582	17222
NA19087	EAS	JPT	0	frozen_HPRC_sites	SNV	old_full	70020	57787	57787	57655	17582	14791
NA19087	EAS	JPT	0	frozen_HPRC_sites	SNV	old_hprc	70020	70020	70020	69560	17582	17221
NA19087	EAS	JPT	0	frozen_HPRC_sites	SV_length_site	full	282	282	282	259	164	141
NA19087	EAS	JPT	0	frozen_HPRC_sites	SV_length_site	hprc	282	282	281	250	164	132
NA19087	EAS	JPT	0	frozen_HPRC_sites	SV_length_site	old_full	282	234	234	217	164	116
NA19087	EAS	JPT	0	frozen_HPRC_sites	SV_length_site	old_hprc	282	282	281	249	164	131
NA19087	EAS	JPT	0	frozen_HPRC_sites	small_complex	full	14567	14567	14567	14321	6076	5871
NA19087	EAS	JPT	0	frozen_HPRC_sites	small_complex	hprc	14567	14567	14564	14176	6076	5720
NA19087	EAS	JPT	0	frozen_HPRC_sites	small_complex	old_full	14567	12166	12166	11984	6076	5024
NA19087	EAS	JPT	0	frozen_HPRC_sites	small_complex	old_hprc	14567	14567	14564	14171	6076	5716
NA19087	EAS	JPT	0	frozen_HPRC_sites	truth_SV_length	full	81	81	81	65	81	65
NA19087	EAS	JPT	0	frozen_HPRC_sites	truth_SV_length	hprc	81	81	80	61	81	61
NA19087	EAS	JPT	0	frozen_HPRC_sites	truth_SV_length	old_full	81	69	69	58	81	58
NA19087	EAS	JPT	0	frozen_HPRC_sites	truth_SV_length	old_hprc	81	81	80	61	81	61
NA19087	EAS	JPT	0	frozen_threeway_SNV	ALL	full	50468	50468	50468	50407	12305	12252
NA19087	EAS	JPT	0	frozen_threeway_SNV	ALL	hprc	50468	50468	50468	50307	12305	12168
NA19087	EAS	JPT	0	frozen_threeway_SNV	ALL	linear	50468	50468	50468	50265	12305	12140
NA19087	EAS	JPT	0	frozen_threeway_SNV	ALL	old_full	50468	50468	50468	50400	12305	12245
NA19087	EAS	JPT	0	frozen_threeway_SNV	ALL	old_hprc	50468	50468	50468	50306	12305	12167
NA19087	EAS	JPT	0	frozen_threeway_SNV	SNV	full	50468	50468	50468	50407	12305	12252
NA19087	EAS	JPT	0	frozen_threeway_SNV	SNV	hprc	50468	50468	50468	50307	12305	12168
NA19087	EAS	JPT	0	frozen_threeway_SNV	SNV	linear	50468	50468	50468	50265	12305	12140
NA19087	EAS	JPT	0	frozen_threeway_SNV	SNV	old_full	50468	50468	50468	50400	12305	12245
NA19087	EAS	JPT	0	frozen_threeway_SNV	SNV	old_hprc	50468	50468	50468	50306	12305	12167
NA19087	EAS	JPT	0	shared_new_sites	ALL	full	85080	85080	85080	84586	23850	23477
NA19087	EAS	JPT	0	shared_new_sites	ALL	hprc	85080	85080	85076	84197	23850	23101
NA19087	EAS	JPT	0	shared_new_sites	ALL	old_full	85080	70187	70187	69856	23850	19931
NA19087	EAS	JPT	0	shared_new_sites	ALL	old_hprc	85080	84869	84865	83980	23850	23068
NA19087	EAS	JPT	0	shared_new_sites	SNV	full	70175	70175	70175	69951	17595	17451
NA19087	EAS	JPT	0	shared_new_sites	SNV	hprc	70175	70175	70175	69716	17595	17235
NA19087	EAS	JPT	0	shared_new_sites	SNV	old_full	70175	57787	57787	57655	17595	14791
NA19087	EAS	JPT	0	shared_new_sites	SNV	old_hprc	70175	70020	70020	69560	17595	17221
NA19087	EAS	JPT	0	shared_new_sites	SV_length_site	full	287	287	287	263	167	143
NA19087	EAS	JPT	0	shared_new_sites	SV_length_site	hprc	287	287	286	254	167	134
NA19087	EAS	JPT	0	shared_new_sites	SV_length_site	old_full	287	234	234	217	167	116
NA19087	EAS	JPT	0	shared_new_sites	SV_length_site	old_hprc	287	282	281	249	167	131
NA19087	EAS	JPT	0	shared_new_sites	small_complex	full	14618	14618	14618	14372	6088	5883
NA19087	EAS	JPT	0	shared_new_sites	small_complex	hprc	14618	14618	14615	14227	6088	5732
NA19087	EAS	JPT	0	shared_new_sites	small_complex	old_full	14618	12166	12166	11984	6088	5024
NA19087	EAS	JPT	0	shared_new_sites	small_complex	old_hprc	14618	14567	14564	14171	6088	5716
NA19087	EAS	JPT	0	shared_new_sites	truth_SV_length	full	82	82	82	65	82	65
NA19087	EAS	JPT	0	shared_new_sites	truth_SV_length	hprc	82	82	81	61	82	61
