donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG03742	AE-panel	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	AE-panel	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03804	A-replay	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	A-replay	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	A-replay	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	A-replay	DPA1	4043	1	15509	19552	0	0	1	1	1	1	1	1
HG03804	A-replay	DPB1	147	0	22992	22992	98	147	1	1	1	1	1	1
HG03804	A-replay	DQA1	2	0	12970	12970	0	2	1	1	1	1	1	1
HG03804	A-replay	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	A-replay	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
HG03804	A-fixed	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	A-fixed	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	A-fixed	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	A-fixed	DPA1	4043	1	15509	19552	0	0	1	1	1	1	1	1
HG03804	A-fixed	DPB1	147	0	22992	22992	98	147	1	0	1	1	1	0
HG03804	A-fixed	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	A-fixed	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	A-fixed	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
HG03804	AE-ipd365	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	AE-ipd365	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	AE-ipd365	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	AE-ipd365	DPA1	4043	1	15509	19552	0	0	1	1	1	1	1	1
HG03804	AE-ipd365	DPB1	179	0	22992	22992	98	179	1	0	1	1	1	0
HG03804	AE-ipd365	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	AE-ipd365	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	AE-ipd365	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
HG03804	AE-panel	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	AE-panel	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	AE-panel	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	AE-panel	DPA1	4043	1	15509	19552	0	0	1	1	1	1	1	1
HG03804	AE-panel	DPB1	179	0	22992	22992	98	179	1	0	1	1	1	0
HG03804	AE-panel	DQA1	2	0	12970	12970	0	2	1	1	1	1	1	1
