donor	method	state
HG00181	full:DogoHLA-no-graph	complete
HG00181	hprc:DogoHLA	complete
HG00181	hprc:DogoHLA-no-graph	complete
HG00181	asian_matched:DogoHLA	complete
HG00181	asian_matched:DogoHLA-no-graph	complete
HG00182	SpecHLA-IPD365-noFreq	complete
HG00182	T1K-four-field	complete
HG00182	full:DogoHLA	complete
HG00182	full:DogoHLA-no-graph	complete
HG00182	hprc:DogoHLA	complete
HG00182	hprc:DogoHLA-no-graph	complete
HG00182	asian_matched:DogoHLA	complete
HG00182	asian_matched:DogoHLA-no-graph	complete
HG00183	SpecHLA-IPD365-noFreq	complete
HG00183	T1K-four-field	complete
HG00183	full:DogoHLA	complete
HG00183	full:DogoHLA-no-graph	complete
HG00183	hprc:DogoHLA	complete
HG00183	hprc:DogoHLA-no-graph	complete
HG00183	asian_matched:DogoHLA	complete
HG00183	asian_matched:DogoHLA-no-graph	complete
HG00185	SpecHLA-IPD365-noFreq	complete
HG00185	T1K-four-field	complete
HG00185	full:DogoHLA	complete
HG00185	full:DogoHLA-no-graph	complete
HG00185	hprc:DogoHLA	complete
HG00185	hprc:DogoHLA-no-graph	complete
HG00185	asian_matched:DogoHLA	complete
HG00185	asian_matched:DogoHLA-no-graph	complete
HG00186	SpecHLA-IPD365-noFreq	complete
HG00186	T1K-four-field	complete
HG00186	full:DogoHLA	complete
HG00186	full:DogoHLA-no-graph	complete
HG00186	hprc:DogoHLA	complete
HG00186	hprc:DogoHLA-no-graph	complete
HG00186	asian_matched:DogoHLA	complete
HG00186	asian_matched:DogoHLA-no-graph	complete
HG00187	SpecHLA-IPD365-noFreq	complete
HG00187	T1K-four-field	complete
HG00187	full:DogoHLA	complete
HG00187	full:DogoHLA-no-graph	complete
HG00187	hprc:DogoHLA	complete
HG00187	hprc:DogoHLA-no-graph	complete
HG00187	asian_matched:DogoHLA	complete
HG00187	asian_matched:DogoHLA-no-graph	complete
HG00188	SpecHLA-IPD365-noFreq	complete
HG00188	T1K-four-field	complete
HG00188	full:DogoHLA	complete
HG00188	full:DogoHLA-no-graph	complete
HG00188	hprc:DogoHLA	complete
HG00188	hprc:DogoHLA-no-graph	complete
HG00188	asian_matched:DogoHLA	complete
HG00188	asian_matched:DogoHLA-no-graph	complete
HG00189	SpecHLA-IPD365-noFreq	complete
HG00189	T1K-four-field	complete
HG00189	full:DogoHLA	complete
HG00189	full:DogoHLA-no-graph	complete
HG00189	hprc:DogoHLA	complete
HG00189	hprc:DogoHLA-no-graph	complete
HG00189	asian_matched:DogoHLA	complete
HG00189	asian_matched:DogoHLA-no-graph	complete
HG00190	SpecHLA-IPD365-noFreq	complete
HG00190	T1K-four-field	complete
HG00190	full:DogoHLA	complete
HG00190	full:DogoHLA-no-graph	complete
HG00190	hprc:DogoHLA	complete
HG00190	hprc:DogoHLA-no-graph	complete
HG00190	asian_matched:DogoHLA	complete
HG00190	asian_matched:DogoHLA-no-graph	complete
HG00231	SpecHLA-IPD365-noFreq	complete
HG00231	T1K-four-field	complete
HG00231	full:DogoHLA	complete
HG00231	full:DogoHLA-no-graph	complete
HG00231	hprc:DogoHLA	complete
HG00231	hprc:DogoHLA-no-graph	complete
HG00231	asian_matched:DogoHLA	complete
HG00231	asian_matched:DogoHLA-no-graph	complete
HG00233	SpecHLA-IPD365-noFreq	complete
HG00233	T1K-four-field	complete
HG00233	full:DogoHLA	complete
HG00233	full:DogoHLA-no-graph	complete
HG00233	hprc:DogoHLA	complete
HG00233	hprc:DogoHLA-no-graph	complete
HG00233	asian_matched:DogoHLA	complete
HG00233	asian_matched:DogoHLA-no-graph	complete
HG00234	SpecHLA-IPD365-noFreq	complete
HG00234	T1K-four-field	complete
HG00234	full:DogoHLA	complete
HG00234	full:DogoHLA-no-graph	complete
HG00234	hprc:DogoHLA	complete
HG00234	hprc:DogoHLA-no-graph	complete
HG00234	asian_matched:DogoHLA	complete
HG00234	asian_matched:DogoHLA-no-graph	complete
HG00236	SpecHLA-IPD365-noFreq	complete
HG00236	T1K-four-field	complete
HG00236	full:DogoHLA	complete
HG00236	full:DogoHLA-no-graph	complete
HG00236	hprc:DogoHLA	complete
HG00236	hprc:DogoHLA-no-graph	complete
HG00236	asian_matched:DogoHLA	complete
HG00236	asian_matched:DogoHLA-no-graph	complete
HG00237	SpecHLA-IPD365-noFreq	complete
HG00237	T1K-four-field	complete
HG00237	full:DogoHLA	complete
HG00237	full:DogoHLA-no-graph	complete
HG00237	hprc:DogoHLA	complete
HG00237	hprc:DogoHLA-no-graph	complete
HG00237	asian_matched:DogoHLA	complete
HG00237	asian_matched:DogoHLA-no-graph	complete
HG00238	SpecHLA-IPD365-noFreq	complete
HG00238	T1K-four-field	complete
HG00238	full:DogoHLA	complete
HG00238	full:DogoHLA-no-graph	complete
HG00238	hprc:DogoHLA	complete
HG00238	hprc:DogoHLA-no-graph	complete
HG00238	asian_matched:DogoHLA	complete
HG00238	asian_matched:DogoHLA-no-graph	complete
HG00239	SpecHLA-IPD365-noFreq	complete
HG00239	T1K-four-field	complete
HG00239	full:DogoHLA	complete
HG00239	full:DogoHLA-no-graph	complete
HG00239	hprc:DogoHLA	complete
HG00239	hprc:DogoHLA-no-graph	complete
HG00239	asian_matched:DogoHLA	complete
HG00239	asian_matched:DogoHLA-no-graph	complete
HG00240	SpecHLA-IPD365-noFreq	complete
