stratum	universe	variant_class	baseline	endpoint	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
SAS	all_truth	ALL	hprc	nonref	20	-12.703464938316667	-13.380154404524605	-12.072700023707178	0	0	20
SAS	all_truth	SNV	hprc	all	20	-5.785782275437112	-5.89430639747508	-5.668927846801268	0	0	20
SAS	all_truth	SNV	hprc	nonref	20	-13.007006159778056	-13.640066470686671	-12.420462385702471	0	0	20
SAS	all_truth	SV_length_site	hprc	all	20	-8.976510067114097	-9.815436241610742	-8.13758389261745	0	0	20
SAS	all_truth	SV_length_site	hprc	nonref	20	-10.148514851485146	-11.521739130434783	-8.826210219363503	0	0	20
SAS	all_truth	small_complex	hprc	all	20	-2.1204294834590853	-2.3151479976784684	-1.9077190946024336	0	0	20
SAS	all_truth	small_complex	hprc	nonref	20	-11.903342366756997	-12.7711090150438	-11.107064412126876	0	0	20
SAS	all_truth	truth_SV_length	hprc	all	20	-5.960684844641728	-7.777075682292801	-4.27770262312056	1	1	18
SAS	all_truth	truth_SV_length	hprc	nonref	20	-5.960684844641728	-7.794825850866455	-4.267132312032829	1	1	18
SAS	graph_shared_SNV	SNV	hprc	all	20	0.05257997006319348	-0.019484042635985466	0.12481051698189802	15	0	5
SAS	graph_shared_SNV	SNV	hprc	nonref	20	0.19477832981243948	-0.08150261999284925	0.4612840603296835	12	1	7
SAS	graph_shared_SNV	SNV	linear	all	20	12.621791495731227	12.533482250699636	12.701941825568149	20	0	0
SAS	graph_shared_SNV	SNV	linear	nonref	20	15.813657182817042	14.374939224022471	17.05263982422238	20	0	0
SAS	shared_sites	ALL	hprc	all	20	0.07959375802356616	-0.015553752191362341	0.1819868836867172	14	0	6
SAS	shared_sites	ALL	hprc	nonref	20	0.28414222207845397	-0.06529018327915026	0.639589997946356	13	0	7
SAS	shared_sites	SNV	hprc	all	20	0.05257997006319348	-0.01859733040156158	0.1251521143923631	15	0	5
SAS	shared_sites	SNV	hprc	nonref	20	0.19477832981243948	-0.08057974656947103	0.4596967790628281	12	1	7
SAS	shared_sites	SV_length_site	hprc	all	20	0.6399317406143412	-0.12798634812286602	1.38740661686233	13	1	6
SAS	shared_sites	SV_length_site	hprc	nonref	20	1.3948082138705908	0.12067214811946503	2.6377518737501595	13	1	6
SAS	shared_sites	small_complex	hprc	all	20	0.19711934156377842	-0.03003826901606166	0.44554803312717134	14	0	6
SAS	shared_sites	small_complex	hprc	nonref	20	0.5103487383045113	-0.06447028935531757	1.1194887415431016	13	0	7
SAS	shared_sites	truth_SV_length	hprc	all	20	1.645474943904257	0.31104199066874755	2.9148301003387123	13	2	5
SAS	shared_sites	truth_SV_length	hprc	nonref	20	1.645474943904257	0.3076923076923088	2.8974739970282326	13	2	5
SAS	three_way_shared_PASS_SNV	SNV	hprc	all	20	0.021734038879117623	-0.009216070650664432	0.05865540294169385	12	0	8
SAS	three_way_shared_PASS_SNV	SNV	hprc	nonref	20	0.07472273930940743	-0.0433266631223883	0.20809747219222405	9	1	10
SAS	three_way_shared_PASS_SNV	SNV	linear	all	20	0.18498743593916567	0.1299169373462017	0.24061278438353761	19	0	1
SAS	three_way_shared_PASS_SNV	SNV	linear	nonref	20	0.6882357567971398	0.4626929882667158	0.9074885279682129	17	0	3
