donor	stratum	population	fold	universe	variant_class	arm	n	site_present	represented	called	correct	nonref_n	nonref_correct
HG03831	SAS	BEB	1	shared_sites	truth_SV_length	hprc	59	59	56	59	48	59	48
NA20905	SAS	GIH	1	all_truth	ALL	full	97372	79505	79485	79504	79191	20430	17382
NA20905	SAS	GIH	1	all_truth	ALL	hprc	97372	84809	84775	84809	84361	20430	19932
NA20905	SAS	GIH	1	all_truth	SNV	full	79844	65182	65181	65182	65079	15031	12893
NA20905	SAS	GIH	1	all_truth	SNV	hprc	79844	69977	69976	69977	69821	15031	14816
NA20905	SAS	GIH	1	all_truth	SV_length_site	full	298	243	235	242	220	158	106
NA20905	SAS	GIH	1	all_truth	SV_length_site	hprc	298	283	270	283	253	158	125
NA20905	SAS	GIH	1	all_truth	small_complex	full	17230	14080	14069	14080	13892	5241	4383
NA20905	SAS	GIH	1	all_truth	small_complex	hprc	17230	14549	14529	14549	14287	5241	4991
NA20905	SAS	GIH	1	all_truth	truth_SV_length	full	73	62	58	61	48	73	48
NA20905	SAS	GIH	1	all_truth	truth_SV_length	hprc	73	72	64	72	55	73	55
NA20905	SAS	GIH	1	shared_sites	ALL	full	70148	70148	70128	70147	69839	17656	17378
NA20905	SAS	GIH	1	shared_sites	ALL	hprc	70148	70148	70122	70148	69777	17656	17312
NA20905	SAS	GIH	1	shared_sites	SNV	full	57756	57756	57755	57756	57657	12978	12891
NA20905	SAS	GIH	1	shared_sites	SNV	hprc	57756	57756	57755	57756	57613	12978	12843
NA20905	SAS	GIH	1	shared_sites	SV_length_site	full	235	235	227	234	212	127	106
NA20905	SAS	GIH	1	shared_sites	SV_length_site	hprc	235	235	226	235	216	127	108
NA20905	SAS	GIH	1	shared_sites	small_complex	full	12157	12157	12146	12157	11970	4551	4381
NA20905	SAS	GIH	1	shared_sites	small_complex	hprc	12157	12157	12141	12157	11948	4551	4361
NA20905	SAS	GIH	1	shared_sites	truth_SV_length	full	62	62	58	61	48	62	48
NA20905	SAS	GIH	1	shared_sites	truth_SV_length	hprc	62	62	57	62	50	62	50
HG03874	SAS	ITU	1	all_truth	ALL	full	97372	79505	79488	79505	79032	22043	19134
HG03874	SAS	ITU	1	all_truth	ALL	hprc	97372	84809	84778	84807	84291	22043	21480
HG03874	SAS	ITU	1	all_truth	SNV	full	79844	65182	65181	65182	64951	16224	14159
HG03874	SAS	ITU	1	all_truth	SNV	hprc	79844	69977	69976	69977	69771	16224	15959
HG03874	SAS	ITU	1	all_truth	SV_length_site	full	298	243	241	243	221	151	100
HG03874	SAS	ITU	1	all_truth	SV_length_site	hprc	298	283	273	283	248	151	115
HG03874	SAS	ITU	1	all_truth	small_complex	full	17230	14080	14066	14080	13860	5668	4875
HG03874	SAS	ITU	1	all_truth	small_complex	hprc	17230	14549	14529	14547	14272	5668	5406
HG03874	SAS	ITU	1	all_truth	truth_SV_length	full	81	71	69	71	59	81	59
HG03874	SAS	ITU	1	all_truth	truth_SV_length	hprc	81	80	73	80	62	81	62
HG03874	SAS	ITU	1	shared_sites	ALL	full	70148	70148	70134	70148	69679	19494	19088
HG03874	SAS	ITU	1	shared_sites	ALL	hprc	70148	70148	70123	70146	69712	19494	19107
