donor	control	estimate	call	truth
NA18990	TNXB_distal_region	3.95235453497514	4	4
NA19007	WHR1_unique_region	3.248741497011604	3	3
NA19007	TNXB_distal_region	3.095296097693842	3	3
NA19036	WHR1_unique_region	4.141072838794092	4	4
NA19036	TNXB_distal_region	3.82827191275841	4	4
NA19043	WHR1_unique_region	4.057150065576888	4	4
NA19043	TNXB_distal_region	4.20636812111618	4	4
NA19066	WHR1_unique_region	3.604826912866288	4	4
NA19066	TNXB_distal_region	3.871951084100073	4	4
NA19079	WHR1_unique_region	4.014579662384974	4	4
NA19079	TNXB_distal_region	4.013448108728956	4	4
NA19087	WHR1_unique_region	3.8647673190358436	4	4
NA19087	TNXB_distal_region	3.938784368296427	4	4
NA19088	WHR1_unique_region	5.287931047095763	5	5
NA19088	TNXB_distal_region	4.846177475747014	5	5
NA19159	WHR1_unique_region	5.900862327688443	6	6
NA19159	TNXB_distal_region	6.023806170404696	6	6
NA19185	WHR1_unique_region	3.962956632473927	4	4
NA19185	TNXB_distal_region	3.959095112668783	4	4
NA19338	WHR1_unique_region	4.066147458052469	4	4
NA19338	TNXB_distal_region	3.9938376995107827	4	4
NA19391	WHR1_unique_region	2.807580001526421	3	3
NA19391	TNXB_distal_region	2.877607167521869	3	3
NA19443	WHR1_unique_region	2.9475190616634825	3	3
NA19443	TNXB_distal_region	3.0344361127688027	3	3
NA19468	WHR1_unique_region	2.8799725423398534	3	3
NA19468	TNXB_distal_region	3.1322573957349977	3	3
NA19682	WHR1_unique_region	4.162355837407606	4	4
NA19682	TNXB_distal_region	4.1799862536727295	4	4
NA19700	WHR1_unique_region	3.1266788742565312	3	3
NA19700	TNXB_distal_region	3.1049042704562773	3	3
NA19776	WHR1_unique_region	3.862273283901968	4	4
NA19776	TNXB_distal_region	3.9418959601985937	4	4
NA19835	WHR1_unique_region	3.834185584865905	4	4
NA19835	TNXB_distal_region	4.028385031332217	4	4
NA19909	WHR1_unique_region	3.8441039820543206	4	4
NA19909	TNXB_distal_region	4.125271626705878	4	4
NA20282	WHR1_unique_region	4.965315957175909	5	5
NA20282	TNXB_distal_region	4.881423986811693	5	5
NA20346	WHR1_unique_region	3.9795419849918763	4	4
NA20346	TNXB_distal_region	4.132838697450652	4	4
NA20503	WHR1_unique_region	4.138971673626281	4	4
NA20503	TNXB_distal_region	4.107584658470585	4	4
