20635511_17|asian_missing_genotype|COMPLETED|0:0|00:01:35|
20635511_17.batch|batch|COMPLETED|0:0|00:01:35|614584K
20635511_18|asian_missing_genotype|COMPLETED|0:0|00:01:35|
20635511_18.batch|batch|COMPLETED|0:0|00:01:35|620108K
20635511_19|asian_missing_genotype|COMPLETED|0:0|00:01:53|
20635511_19.batch|batch|COMPLETED|0:0|00:01:53|696512K
20635511_20|asian_missing_genotype|COMPLETED|0:0|00:01:38|
20635511_20.batch|batch|COMPLETED|0:0|00:01:38|618896K
20635511_21|asian_missing_genotype|COMPLETED|0:0|00:01:45|
20635511_21.batch|batch|COMPLETED|0:0|00:01:45|596972K
20635511_22|asian_missing_genotype|COMPLETED|0:0|00:01:55|
20635511_22.batch|batch|COMPLETED|0:0|00:01:55|614268K
20635511_23|asian_missing_genotype|COMPLETED|0:0|00:01:55|
20635511_23.batch|batch|COMPLETED|0:0|00:01:55|605748K
20635511_24|asian_missing_genotype|COMPLETED|0:0|00:01:50|
20635511_24.batch|batch|COMPLETED|0:0|00:01:50|1071332K
20635511_25|asian_missing_genotype|COMPLETED|0:0|00:01:35|
20635511_25.batch|batch|COMPLETED|0:0|00:01:35|1056140K
20635511_26|asian_missing_genotype|COMPLETED|0:0|00:01:38|
20635511_26.batch|batch|COMPLETED|0:0|00:01:38|619248K
20635511_27|asian_missing_genotype|COMPLETED|0:0|00:01:53|
20635511_27.batch|batch|COMPLETED|0:0|00:01:53|682596K
20635511_28|asian_missing_genotype|COMPLETED|0:0|00:01:49|
20635511_28.batch|batch|COMPLETED|0:0|00:01:49|862040K
20635511_29|asian_missing_genotype|COMPLETED|0:0|00:02:21|
20635511_29.batch|batch|COMPLETED|0:0|00:02:21|671044K
20635511_30|asian_missing_genotype|COMPLETED|0:0|00:02:10|
20635511_30.batch|batch|COMPLETED|0:0|00:02:10|637896K
20635511_31|asian_missing_genotype|COMPLETED|0:0|00:01:37|
20635511_31.batch|batch|COMPLETED|0:0|00:01:37|620968K
20635511_32|asian_missing_genotype|COMPLETED|0:0|00:01:38|
20635511_32.batch|batch|COMPLETED|0:0|00:01:38|1358704K
20635511_33|asian_missing_genotype|COMPLETED|0:0|00:01:42|
20635511_33.batch|batch|COMPLETED|0:0|00:01:42|620552K
20635511_34|asian_missing_genotype|COMPLETED|0:0|00:01:56|
20635511_34.batch|batch|COMPLETED|0:0|00:01:56|615076K
20635511_35|asian_missing_genotype|COMPLETED|0:0|00:02:08|
20635511_35.batch|batch|COMPLETED|0:0|00:02:08|642276K
20635511_36|asian_missing_genotype|COMPLETED|0:0|00:01:46|
20635511_36.batch|batch|COMPLETED|0:0|00:01:46|612480K
20635511_37|asian_missing_genotype|COMPLETED|0:0|00:01:56|
20635511_37.batch|batch|COMPLETED|0:0|00:01:56|611008K
20635511_38|asian_missing_genotype|COMPLETED|0:0|00:01:38|
20635511_38.batch|batch|COMPLETED|0:0|00:01:38|620132K
20635511_39|asian_missing_genotype|COMPLETED|0:0|00:01:35|
20635511_39.batch|batch|COMPLETED|0:0|00:01:35|618696K
20635512|asian_refined_score|COMPLETED|0:0|00:05:42|
20635512.batch|batch|COMPLETED|0:0|00:05:42|26997848K
20635551|asian_refined_archive|COMPLETED|0:0|00:03:22|
20635551.batch|batch|COMPLETED|0:0|00:03:22|2547116K
20635852|asian_locityper_setup|COMPLETED|0:0|00:03:11|
20635852.batch|batch|COMPLETED|0:0|00:03:11|760124K
20636208_0|asian_locityper_HLA|COMPLETED|0:0|00:01:06|
20636208_0.batch|batch|COMPLETED|0:0|00:01:06|515288K
20636227_1|asian_locityper_HLA|COMPLETED|0:0|00:01:14|
20636227_1.batch|batch|COMPLETED|0:0|00:01:14|408932K
20636227_2|asian_locityper_HLA|COMPLETED|0:0|00:01:04|
20636227_2.batch|batch|COMPLETED|0:0|00:01:04|508784K
20636227_3|asian_locityper_HLA|COMPLETED|0:0|00:01:07|
20636227_3.batch|batch|COMPLETED|0:0|00:01:07|556872K
20636227_4|asian_locityper_HLA|COMPLETED|0:0|00:01:02|
20636227_4.batch|batch|COMPLETED|0:0|00:01:02|498784K
20636227_5|asian_locityper_HLA|COMPLETED|0:0|00:01:23|
20636227_5.batch|batch|COMPLETED|0:0|00:01:23|498576K
20636227_6|asian_locityper_HLA|COMPLETED|0:0|00:01:09|
20636227_6.batch|batch|COMPLETED|0:0|00:01:09|456468K
20636227_7|asian_locityper_HLA|COMPLETED|0:0|00:00:56|
20636227_7.batch|batch|COMPLETED|0:0|00:00:56|626728K
20636227_8|asian_locityper_HLA|COMPLETED|0:0|00:01:06|
20636227_8.batch|batch|COMPLETED|0:0|00:01:06|467036K
20636227_9|asian_locityper_HLA|COMPLETED|0:0|00:01:03|
20636227_9.batch|batch|COMPLETED|0:0|00:01:03|627236K
20636227_10|asian_locityper_HLA|COMPLETED|0:0|00:00:57|
20636227_10.batch|batch|COMPLETED|0:0|00:00:57|577836K
20636227_11|asian_locityper_HLA|COMPLETED|0:0|00:01:02|
20636227_11.batch|batch|COMPLETED|0:0|00:01:02|497060K
20636227_12|asian_locityper_HLA|COMPLETED|0:0|00:01:01|
20636227_12.batch|batch|COMPLETED|0:0|00:01:01|584760K
20636227_13|asian_locityper_HLA|COMPLETED|0:0|00:01:25|
20636227_13.batch|batch|COMPLETED|0:0|00:01:25|477236K
20636227_14|asian_locityper_HLA|COMPLETED|0:0|00:01:04|
20636227_14.batch|batch|COMPLETED|0:0|00:01:04|602544K
20636227_15|asian_locityper_HLA|COMPLETED|0:0|00:01:03|
20636227_15.batch|batch|COMPLETED|0:0|00:01:03|435280K
20636227_16|asian_locityper_HLA|COMPLETED|0:0|00:01:02|
20636227_16.batch|batch|COMPLETED|0:0|00:01:02|579836K
20636227_17|asian_locityper_HLA|COMPLETED|0:0|00:01:04|
20636227_17.batch|batch|COMPLETED|0:0|00:01:04|494660K
20636227_18|asian_locityper_HLA|COMPLETED|0:0|00:01:04|
20636227_18.batch|batch|COMPLETED|0:0|00:01:04|601204K
20636227_19|asian_locityper_HLA|COMPLETED|0:0|00:01:03|
20636227_19.batch|batch|COMPLETED|0:0|00:01:03|571316K
20636227_20|asian_locityper_HLA|COMPLETED|0:0|00:00:59|
20636227_20.batch|batch|COMPLETED|0:0|00:00:59|582412K
