run_accession	sample_accession	sample_alias	instrument_platform	library_strategy	library_source	library_layout	fastq_ftp
SRR29147656	SAMN41227946	pbAPR027	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/056/SRR29147656/SRR29147656_subreads.fastq.gz
SRR29147660	SAMN41227942	pbAPR023	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/060/SRR29147660/SRR29147660_subreads.fastq.gz
SRR29147661	SAMN41227941	pbAPR022	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/061/SRR29147661/SRR29147661_subreads.fastq.gz
SRR29147664	SAMN41227938	pbAPR019	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/064/SRR29147664/SRR29147664_subreads.fastq.gz
SRR29147666	SAMN41227936	pbAPR016	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/066/SRR29147666/SRR29147666_subreads.fastq.gz
SRR29147675	SAMN41227927	pbAPR007	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/075/SRR29147675/SRR29147675_subreads.fastq.gz
SRR29147676	SAMN41227926	pbAPR006	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/076/SRR29147676/SRR29147676_subreads.fastq.gz
SRR29147678	SAMN41227924	pbAPR004	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/078/SRR29147678/SRR29147678_subreads.fastq.gz
SRR29147679	SAMN41227923	pbAPR003	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/079/SRR29147679/SRR29147679_subreads.fastq.gz
SRR29147682	SAMN41227919	APR-M	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/082/SRR29147682/SRR29147682_1.fastq.gz
SRR29147690	SAMN41227969	pbAPR051	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/090/SRR29147690/SRR29147690_subreads.fastq.gz
SRR29147692	SAMN41227968	pbAPR050	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/092/SRR29147692/SRR29147692_subreads.fastq.gz
SRR29399623	SAMN41227873	APR006	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/023/SRR29399623/SRR29399623_1.fastq.gz
SRR29399625	SAMN41227916	APR051	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/025/SRR29399625/SRR29399625_1.fastq.gz
