JobID	JobName	State	ExitCode	Start	End	Elapsed	AllocCPUS
20632470_16	asian50_spechla	COMPLETED	0:0	2026-09-17T10:52:02	2026-09-17T11:00:07	00:08:05	4
20632470_17	asian50_spechla	COMPLETED	0:0	2026-09-17T10:52:30	2026-09-17T11:00:18	00:07:48	4
20632470_18	asian50_spechla	COMPLETED	0:0	2026-09-17T10:56:22	2026-09-17T11:04:23	00:08:01	4
20632470_19	asian50_spechla	COMPLETED	0:0	2026-09-17T10:56:31	2026-09-17T11:04:38	00:08:07	4
20632470_20	asian50_spechla	COMPLETED	0:0	2026-09-17T11:00:08	2026-09-17T11:08:19	00:08:11	4
20632470_21	asian50_spechla	COMPLETED	0:0	2026-09-17T11:00:20	2026-09-17T11:07:36	00:07:16	4
20632470_22	asian50_spechla	COMPLETED	0:0	2026-09-17T11:00:33	2026-09-17T11:08:43	00:08:10	4
20632470_23	asian50_spechla	COMPLETED	0:0	2026-09-17T11:04:24	2026-09-17T11:12:20	00:07:56	4
20632470_24	asian50_spechla	COMPLETED	0:0	2026-09-17T11:04:40	2026-09-17T11:12:12	00:07:32	4
20632470_25	asian50_spechla	COMPLETED	0:0	2026-09-17T11:07:38	2026-09-17T11:15:40	00:08:02	4
20632470_26	asian50_spechla	COMPLETED	0:0	2026-09-17T11:08:20	2026-09-17T11:16:25	00:08:05	4
20632470_27	asian50_spechla	COMPLETED	0:0	2026-09-17T11:08:45	2026-09-17T11:16:36	00:07:51	4
20632470_28	asian50_spechla	COMPLETED	0:0	2026-09-17T11:12:14	2026-09-17T11:20:08	00:07:54	4
20632470_29	asian50_spechla	COMPLETED	0:0	2026-09-17T11:12:22	2026-09-17T11:24:31	00:12:09	4
20632470_30	asian50_spechla	COMPLETED	0:0	2026-09-17T11:15:41	2026-09-17T11:24:54	00:09:13	4
20632470_31	asian50_spechla	COMPLETED	0:0	2026-09-17T11:16:26	2026-09-17T11:24:24	00:07:58	4
20632470_32	asian50_spechla	COMPLETED	0:0	2026-09-17T11:16:38	2026-09-17T11:24:26	00:07:48	4
20632470_33	asian50_spechla	COMPLETED	0:0	2026-09-17T11:18:15	2026-09-17T11:26:41	00:08:26	4
20632470_34	asian50_spechla	COMPLETED	0:0	2026-09-17T11:20:10	2026-09-17T11:28:18	00:08:08	4
20632470_35	asian50_spechla	COMPLETED	0:0	2026-09-17T11:24:26	2026-09-17T11:33:55	00:09:29	4
20632470_36	asian50_spechla	COMPLETED	0:0	2026-09-17T11:24:30	2026-09-17T11:33:07	00:08:37	4
20632470_37	asian50_spechla	COMPLETED	0:0	2026-09-17T11:24:32	2026-09-17T11:32:50	00:08:18	4
20632470_38	asian50_spechla	COMPLETED	0:0	2026-09-17T11:24:55	2026-09-17T11:33:09	00:08:14	4
20632470_39	asian50_spechla	COMPLETED	0:0	2026-09-17T11:26:42	2026-09-17T11:34:56	00:08:14	4
20632534	asian50_panel_index	COMPLETED	0:0	2026-09-17T10:07:46	2026-09-17T10:42:04	00:34:18	4
20632571_0	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:42:07	2026-09-17T10:43:40	00:01:33	2
20632571_1	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:42:07	2026-09-17T10:43:55	00:01:48	2
20632571_2	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:43:41	2026-09-17T10:45:12	00:01:31	2
20632571_3	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:43:58	2026-09-17T10:45:46	00:01:48	2
20632571_4	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:45:13	2026-09-17T10:46:40	00:01:27	2
20632571_5	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:45:49	2026-09-17T10:47:52	00:02:03	2
20632571_6	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:46:41	2026-09-17T10:48:15	00:01:34	2
20632571_7	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:47:53	2026-09-17T10:49:36	00:01:43	2
20632571_8	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:48:17	2026-09-17T10:49:51	00:01:34	2
20632571_9	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:49:37	2026-09-17T10:51:24	00:01:47	2
20632571_10	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:49:53	2026-09-17T10:51:19	00:01:26	2
20632571_11	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:51:20	2026-09-17T10:52:52	00:01:32	2
20632571_12	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:51:27	2026-09-17T10:53:15	00:01:48	2
20632571_13	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:52:53	2026-09-17T10:54:38	00:01:45	2
20632571_14	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:53:16	2026-09-17T10:55:05	00:01:49	2
20632571_15	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:54:39	2026-09-17T10:56:19	00:01:40	2
20632571_16	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:55:06	2026-09-17T10:56:40	00:01:34	2
20632571_17	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:56:20	2026-09-17T10:57:59	00:01:39	2
20632571_18	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:56:43	2026-09-17T10:58:16	00:01:33	2
20632571_19	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:58:01	2026-09-17T10:59:39	00:01:38	2
20632571_20	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:58:17	2026-09-17T10:59:48	00:01:31	2
20632571_21	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:59:42	2026-09-17T11:01:17	00:01:35	2
20632571_22	asian50_pangenie	COMPLETED	0:0	2026-09-17T10:59:51	2026-09-17T11:01:21	00:01:30	2
20632571_23	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:01:20	2026-09-17T11:03:01	00:01:41	2
20632571_24	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:01:22	2026-09-17T11:02:59	00:01:37	2
20632571_25	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:03:01	2026-09-17T11:04:42	00:01:41	2
20632571_26	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:03:05	2026-09-17T11:04:40	00:01:35	2
20632571_27	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:04:40	2026-09-17T11:06:15	00:01:35	2
20632571_28	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:04:43	2026-09-17T11:06:12	00:01:29	2
20632571_29	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:06:14	2026-09-17T11:08:04	00:01:50	2
20632571_30	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:06:17	2026-09-17T11:08:13	00:01:56	2
20632571_31	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:08:05	2026-09-17T11:09:33	00:01:28	2
20632571_32	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:08:14	2026-09-17T11:09:55	00:01:41	2
20632571_33	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:09:35	2026-09-17T11:11:13	00:01:38	2
20632571_34	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:09:56	2026-09-17T11:11:44	00:01:48	2
20632571_35	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:11:14	2026-09-17T11:13:14	00:02:00	2
20632571_36	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:11:44	2026-09-17T11:13:36	00:01:52	2
20632571_37	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:13:15	2026-09-17T11:15:08	00:01:53	2
20632571_38	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:13:37	2026-09-17T11:15:22	00:01:45	2
20632571_39	asian50_pangenie	COMPLETED	0:0	2026-09-17T11:15:09	2026-09-17T11:17:00	00:01:51	2
20633242	asian50_verify	FAILED	1:0	2026-09-17T11:34:58	2026-09-17T11:34:58	00:00:00	1
20634221	asian50_verify	COMPLETED	0:0	2026-09-17T11:37:54	2026-09-17T11:39:03	00:01:09	1
