donor	stratum	family	method	gene	fields	state	eligible	called	correct	allele_matches
HG03831	SAS	HG03829	ipd_genome	DPB1	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DPB1	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DQA1	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DQA1	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DQB1	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DQB1	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DRB1	2	complete	1	1	0	1
HG03831	SAS	HG03829	ipd_genome	DRB1	4	complete	0	0	0	0
HG03874	SAS	HG03874	T1K	A	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	A	4	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	B	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	B	4	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	C	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	C	4	complete	1	1	0	1
HG03874	SAS	HG03874	T1K	DPA1	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DPA1	4	complete	0	0	0	0
HG03874	SAS	HG03874	T1K	DPB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DPB1	4	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DQA1	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DQA1	4	complete	0	0	0	0
HG03874	SAS	HG03874	T1K	DQB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DQB1	4	complete	1	1	0	1
HG03874	SAS	HG03874	T1K	DRB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	T1K	DRB1	4	complete	0	0	0	0
HG03874	SAS	HG03874	ipd_genome	A	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	A	4	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	B	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	B	4	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	C	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	C	4	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DPA1	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DPA1	4	complete	0	0	0	0
HG03874	SAS	HG03874	ipd_genome	DPB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DPB1	4	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DQA1	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DQA1	4	complete	0	0	0	0
HG03874	SAS	HG03874	ipd_genome	DQB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DQB1	4	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DRB1	2	complete	1	1	1	2
HG03874	SAS	HG03874	ipd_genome	DRB1	4	complete	0	0	0	0
HG01530	EUR	IBS011	T1K	A	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	A	4	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	B	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	B	4	complete	0	0	0	0
HG01530	EUR	IBS011	T1K	C	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	C	4	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DPA1	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DPA1	4	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DPB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DPB1	4	complete	1	1	0	0
HG01530	EUR	IBS011	T1K	DQA1	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DQA1	4	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DQB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DQB1	4	complete	1	1	0	1
HG01530	EUR	IBS011	T1K	DRB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	T1K	DRB1	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	A	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	A	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	B	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	B	4	complete	0	0	0	0
HG01530	EUR	IBS011	ipd_genome	C	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	C	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DPA1	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DPA1	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DPB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DPB1	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DQA1	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DQA1	4	complete	1	1	0	1
HG01530	EUR	IBS011	ipd_genome	DQB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DQB1	4	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DRB1	2	complete	1	1	1	2
HG01530	EUR	IBS011	ipd_genome	DRB1	4	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	A	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	A	4	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	B	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	B	4	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	C	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	C	4	complete	1	1	0	1
NA20806	EUR	NA20806	T1K	DPA1	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DPA1	4	complete	1	1	0	1
NA20806	EUR	NA20806	T1K	DPB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DPB1	4	complete	1	1	0	1
NA20806	EUR	NA20806	T1K	DQA1	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DQA1	4	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DQB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DQB1	4	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DRB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	T1K	DRB1	4	complete	1	1	0	0
NA20806	EUR	NA20806	ipd_genome	A	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	A	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	B	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	B	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	C	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	C	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DPA1	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DPA1	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DPB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DPB1	4	complete	1	1	0	1
NA20806	EUR	NA20806	ipd_genome	DQA1	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DQA1	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DQB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DQB1	4	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DRB1	2	complete	1	1	1	2
NA20806	EUR	NA20806	ipd_genome	DRB1	4	complete	1	1	0	0
HG03516	AFR	NG107	T1K	A	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	A	4	complete	1	1	1	2
HG03516	AFR	NG107	T1K	B	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	B	4	complete	0	0	0	0
HG03516	AFR	NG107	T1K	C	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	C	4	complete	1	1	0	1
HG03516	AFR	NG107	T1K	DPA1	2	complete	0	0	0	0
HG03516	AFR	NG107	T1K	DPA1	4	complete	0	0	0	0
HG03516	AFR	NG107	T1K	DPB1	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	DPB1	4	complete	1	1	1	2
HG03516	AFR	NG107	T1K	DQA1	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	DQA1	4	complete	1	1	0	0
HG03516	AFR	NG107	T1K	DQB1	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	DQB1	4	complete	1	1	0	0
HG03516	AFR	NG107	T1K	DRB1	2	complete	1	1	1	2
HG03516	AFR	NG107	T1K	DRB1	4	complete	0	0	0	0
HG03516	AFR	NG107	ipd_genome	A	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	A	4	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	B	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	B	4	complete	0	0	0	0
HG03516	AFR	NG107	ipd_genome	C	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	C	4	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DPA1	2	complete	0	0	0	0
HG03516	AFR	NG107	ipd_genome	DPA1	4	complete	0	0	0	0
HG03516	AFR	NG107	ipd_genome	DPB1	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DPB1	4	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DQA1	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DQA1	4	complete	1	1	0	1
HG03516	AFR	NG107	ipd_genome	DQB1	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DQB1	4	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DRB1	2	complete	1	1	1	2
HG03516	AFR	NG107	ipd_genome	DRB1	4	complete	0	0	0	0
NA19185	AFR	Y039	T1K	A	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	A	4	complete	1	1	1	2
NA19185	AFR	Y039	T1K	B	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	B	4	complete	0	0	0	0
NA19185	AFR	Y039	T1K	C	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	C	4	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DPA1	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DPA1	4	complete	0	0	0	0
NA19185	AFR	Y039	T1K	DPB1	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DPB1	4	complete	1	1	0	1
NA19185	AFR	Y039	T1K	DQA1	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DQA1	4	complete	1	1	0	0
NA19185	AFR	Y039	T1K	DQB1	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DQB1	4	complete	1	1	0	0
NA19185	AFR	Y039	T1K	DRB1	2	complete	1	1	1	2
NA19185	AFR	Y039	T1K	DRB1	4	complete	0	0	0	0
NA19185	AFR	Y039	ipd_genome	A	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	A	4	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	B	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	B	4	complete	0	0	0	0
NA19185	AFR	Y039	ipd_genome	C	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	C	4	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DPA1	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DPA1	4	complete	0	0	0	0
NA19185	AFR	Y039	ipd_genome	DPB1	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DPB1	4	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DQA1	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DQA1	4	complete	1	1	0	0
NA19185	AFR	Y039	ipd_genome	DQB1	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DQB1	4	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DRB1	2	complete	1	1	1	2
NA19185	AFR	Y039	ipd_genome	DRB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/sampled	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	B	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	C	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/sampled	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/sampled	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DQA1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/sampled	DRB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/unsampled	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	B	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	C	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/unsampled	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc/unsampled	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DQA1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc/unsampled	DRB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/sampled	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	B	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	C	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/sampled	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/sampled	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DQA1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/sampled	DRB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/unsampled	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	B	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	C	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/unsampled	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	hprc_asian/unsampled	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DQA1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	hprc_asian/unsampled	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc/sampled	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	B	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	B	4	complete	1	1	0	1
HG02132	EAS	HG02132	hprc/sampled	C	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	C	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DPA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DPA1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc/sampled	DPB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DPB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DQA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DQA1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DQB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DQB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DRB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/sampled	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc/unsampled	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	B	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	B	4	complete	1	1	0	1
HG02132	EAS	HG02132	hprc/unsampled	C	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	C	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DPA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DPA1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc/unsampled	DPB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DPB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DQA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DQA1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DQB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DQB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DRB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc/unsampled	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc_asian/sampled	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	B	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	B	4	complete	1	1	0	1
HG02132	EAS	HG02132	hprc_asian/sampled	C	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	C	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DPA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DPA1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc_asian/sampled	DPB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DPB1	4	complete	1	1	0	1
HG02132	EAS	HG02132	hprc_asian/sampled	DQA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DQA1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DQB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DQB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DRB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/sampled	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	hprc_asian/unsampled	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/unsampled	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	hprc_asian/unsampled	B	2	complete	1	1	1	2
