donor	method	state	error
NA20806	full:DogoHLA-no-graph	complete	NONE
NA20806	hprc:DogoHLA	complete	NONE
NA20806	hprc:DogoHLA-no-graph	complete	NONE
NA20806	asian_matched:DogoHLA	complete	NONE
NA20806	asian_matched:DogoHLA-no-graph	complete	NONE
HG00321	SpecHLA-IPD365-noFreq	complete	NONE
HG00321	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00321	T1K-four-field	complete	NONE
HG00321	full:DogoHLA	complete	NONE
HG00321	full:DogoHLA-no-graph	complete	NONE
HG00321	hprc:DogoHLA	complete	NONE
HG00321	hprc:DogoHLA-no-graph	complete	NONE
HG00321	asian_matched:DogoHLA	complete	NONE
HG00321	asian_matched:DogoHLA-no-graph	complete	NONE
HG00232	SpecHLA-IPD365-noFreq	complete	NONE
HG00232	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00232	T1K-four-field	complete	NONE
HG00232	full:DogoHLA	complete	NONE
HG00232	full:DogoHLA-no-graph	complete	NONE
HG00232	hprc:DogoHLA	complete	NONE
HG00232	hprc:DogoHLA-no-graph	complete	NONE
HG00232	asian_matched:DogoHLA	complete	NONE
HG00232	asian_matched:DogoHLA-no-graph	complete	NONE
HG01786	SpecHLA-IPD365-noFreq	complete	NONE
HG01786	SpecHLA-IPD365-long-noFreq	complete	NONE
HG01786	T1K-four-field	complete	NONE
HG01786	full:DogoHLA	complete	NONE
HG01786	full:DogoHLA-no-graph	complete	NONE
HG01786	hprc:DogoHLA	complete	NONE
HG01786	hprc:DogoHLA-no-graph	complete	NONE
HG01786	asian_matched:DogoHLA	complete	NONE
HG01786	asian_matched:DogoHLA-no-graph	complete	NONE
NA20503	SpecHLA-IPD365-noFreq	complete	NONE
NA20503	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20503	T1K-four-field	complete	NONE
NA20503	full:DogoHLA	complete	NONE
NA20503	full:DogoHLA-no-graph	complete	NONE
NA20503	hprc:DogoHLA	complete	NONE
NA20503	hprc:DogoHLA-no-graph	complete	NONE
NA20503	asian_matched:DogoHLA	complete	NONE
NA20503	asian_matched:DogoHLA-no-graph	complete	NONE
HG00344	SpecHLA-IPD365-noFreq	complete	NONE
HG00344	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00344	T1K-four-field	complete	NONE
HG00344	full:DogoHLA	complete	NONE
HG00344	full:DogoHLA-no-graph	complete	NONE
HG00344	hprc:DogoHLA	complete	NONE
HG00344	hprc:DogoHLA-no-graph	complete	NONE
HG00344	asian_matched:DogoHLA	complete	NONE
HG00344	asian_matched:DogoHLA-no-graph	complete	NONE
HG00128	SpecHLA-IPD365-noFreq	complete	NONE
HG00128	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00128	T1K-four-field	complete	NONE
HG00128	full:DogoHLA	complete	NONE
HG00128	full:DogoHLA-no-graph	complete	NONE
HG00128	hprc:DogoHLA	complete	NONE
HG00128	hprc:DogoHLA-no-graph	complete	NONE
HG00128	asian_matched:DogoHLA	complete	NONE
HG00128	asian_matched:DogoHLA-no-graph	complete	NONE
HG01784	SpecHLA-IPD365-noFreq	complete	NONE
HG01784	SpecHLA-IPD365-long-noFreq	complete	NONE
HG01784	T1K-four-field	complete	NONE
HG01784	full:DogoHLA	complete	NONE
HG01784	full:DogoHLA-no-graph	complete	NONE
HG01784	hprc:DogoHLA	complete	NONE
HG01784	hprc:DogoHLA-no-graph	complete	NONE
HG01784	asian_matched:DogoHLA	complete	NONE
HG01784	asian_matched:DogoHLA-no-graph	complete	NONE
NA20809	SpecHLA-IPD365-noFreq	complete	NONE
NA20809	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20809	T1K-four-field	complete	NONE
NA20809	full:DogoHLA	complete	NONE
NA20809	full:DogoHLA-no-graph	complete	NONE
NA20809	hprc:DogoHLA	complete	NONE
NA20809	hprc:DogoHLA-no-graph	complete	NONE
NA20809	asian_matched:DogoHLA	complete	NONE
NA20809	asian_matched:DogoHLA-no-graph	complete	NONE
HG00272	SpecHLA-IPD365-noFreq	complete	NONE
HG00272	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00272	T1K-four-field	complete	NONE
HG00272	full:DogoHLA	complete	NONE
HG00272	full:DogoHLA-no-graph	complete	NONE
HG00272	hprc:DogoHLA	complete	NONE
HG00272	hprc:DogoHLA-no-graph	complete	NONE
HG00272	asian_matched:DogoHLA	complete	NONE
HG00272	asian_matched:DogoHLA-no-graph	complete	NONE
HG00133	SpecHLA-IPD365-noFreq	complete	NONE
HG00133	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00133	T1K-four-field	complete	NONE
HG00133	full:DogoHLA	complete	NONE
HG00133	full:DogoHLA-no-graph	complete	NONE
HG00133	hprc:DogoHLA	complete	NONE
HG00133	hprc:DogoHLA-no-graph	complete	NONE
HG00133	asian_matched:DogoHLA	complete	NONE
HG00133	asian_matched:DogoHLA-no-graph	complete	NONE
NA20805	SpecHLA-IPD365-noFreq	complete	NONE
NA20805	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20805	T1K-four-field	complete	NONE
NA20805	full:DogoHLA	complete	NONE
NA20805	full:DogoHLA-no-graph	complete	NONE
NA20805	hprc:DogoHLA	complete	NONE
NA20805	hprc:DogoHLA-no-graph	complete	NONE
NA20805	asian_matched:DogoHLA	complete	NONE
NA20805	asian_matched:DogoHLA-no-graph	complete	NONE
HG00320	SpecHLA-IPD365-noFreq	complete	NONE
HG00320	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00320	T1K-four-field	complete	NONE
HG00320	full:DogoHLA	complete	NONE
HG00320	full:DogoHLA-no-graph	complete	NONE
HG00320	hprc:DogoHLA	complete	NONE
HG00320	hprc:DogoHLA-no-graph	complete	NONE
HG00320	asian_matched:DogoHLA	complete	NONE
HG00320	asian_matched:DogoHLA-no-graph	complete	NONE
HG00140	SpecHLA-IPD365-noFreq	complete	NONE
HG00140	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00140	T1K-four-field	complete	NONE
HG00140	full:DogoHLA	complete	NONE
HG00140	full:DogoHLA-no-graph	complete	NONE
HG00140	hprc:DogoHLA	complete	NONE
HG00140	hprc:DogoHLA-no-graph	complete	NONE
HG00140	asian_matched:DogoHLA	complete	NONE
HG00140	asian_matched:DogoHLA-no-graph	complete	NONE
NA20762	SpecHLA-IPD365-noFreq	complete	NONE
NA20762	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20762	T1K-four-field	complete	NONE
NA20762	full:DogoHLA	complete	NONE
NA20762	full:DogoHLA-no-graph	complete	NONE
NA20762	hprc:DogoHLA	complete	NONE
NA20762	hprc:DogoHLA-no-graph	complete	NONE
NA20762	asian_matched:DogoHLA	complete	NONE
NA20762	asian_matched:DogoHLA-no-graph	complete	NONE
HG03516	SpecHLA-IPD365-noFreq	complete	NONE
HG03516	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03516	T1K-four-field	complete	NONE
HG03516	full:DogoHLA	complete	NONE
HG03516	full:DogoHLA-no-graph	complete	NONE
HG03516	hprc:DogoHLA	complete	NONE
HG03516	hprc:DogoHLA-no-graph	complete	NONE
HG03516	asian_matched:DogoHLA	complete	NONE
HG03516	asian_matched:DogoHLA-no-graph	complete	NONE
NA19185	SpecHLA-IPD365-noFreq	complete	NONE
NA19185	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19185	T1K-four-field	complete	NONE
NA19185	full:DogoHLA	complete	NONE
NA19185	full:DogoHLA-no-graph	complete	NONE
NA19185	hprc:DogoHLA	complete	NONE
NA19185	hprc:DogoHLA-no-graph	complete	NONE
NA19185	asian_matched:DogoHLA	complete	NONE
NA19185	asian_matched:DogoHLA-no-graph	complete	NONE
HG02984	SpecHLA-IPD365-noFreq	complete	NONE
HG02984	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02984	T1K-four-field	complete	NONE
HG02984	full:DogoHLA	complete	NONE
HG02984	full:DogoHLA-no-graph	complete	NONE
HG02984	hprc:DogoHLA	complete	NONE
HG02984	hprc:DogoHLA-no-graph	complete	NONE
HG02984	asian_matched:DogoHLA	complete	NONE
HG02984	asian_matched:DogoHLA-no-graph	complete	NONE
HG01960	SpecHLA-IPD365-noFreq	complete	NONE
HG01960	SpecHLA-IPD365-long-noFreq	complete	NONE
HG01960	T1K-four-field	complete	NONE
HG01960	full:DogoHLA	complete	NONE
HG01960	full:DogoHLA-no-graph	complete	NONE
HG01960	hprc:DogoHLA	complete	NONE
HG01960	hprc:DogoHLA-no-graph	complete	NONE
HG01960	asian_matched:DogoHLA	complete	NONE
HG01960	asian_matched:DogoHLA-no-graph	complete	NONE
NA20282	SpecHLA-IPD365-noFreq	complete	NONE
NA20282	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20282	T1K-four-field	complete	NONE
NA20282	full:DogoHLA	complete	NONE
NA20282	full:DogoHLA-no-graph	complete	NONE
NA20282	hprc:DogoHLA	complete	NONE
NA20282	hprc:DogoHLA-no-graph	complete	NONE
NA20282	asian_matched:DogoHLA	complete	NONE
NA20282	asian_matched:DogoHLA-no-graph	complete	NONE
NA19468	SpecHLA-IPD365-noFreq	complete	NONE
NA19468	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19468	T1K-four-field	complete	NONE
NA19468	full:DogoHLA	complete	NONE
NA19468	full:DogoHLA-no-graph	complete	NONE
NA19468	hprc:DogoHLA	complete	NONE
NA19468	hprc:DogoHLA-no-graph	complete	NONE
NA19468	asian_matched:DogoHLA	complete	NONE
NA19468	asian_matched:DogoHLA-no-graph	complete	NONE
HG03453	SpecHLA-IPD365-noFreq	complete	NONE
HG03453	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03453	T1K-four-field	complete	NONE
HG03453	full:DogoHLA	complete	NONE
HG03453	full:DogoHLA-no-graph	complete	NONE
HG03453	hprc:DogoHLA	complete	NONE
HG03453	hprc:DogoHLA-no-graph	complete	NONE
HG03453	asian_matched:DogoHLA	complete	NONE
HG03453	asian_matched:DogoHLA-no-graph	complete	NONE
HG03369	SpecHLA-IPD365-noFreq	complete	NONE
HG03369	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03369	T1K-four-field	complete	NONE
HG03369	full:DogoHLA	complete	NONE
HG03369	full:DogoHLA-no-graph	complete	NONE
HG03369	hprc:DogoHLA	complete	NONE
HG03369	hprc:DogoHLA-no-graph	complete	NONE
HG03369	asian_matched:DogoHLA	complete	NONE
HG03369	asian_matched:DogoHLA-no-graph	complete	NONE
NA19159	SpecHLA-IPD365-noFreq	complete	NONE
NA19159	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19159	T1K-four-field	complete	NONE
NA19159	full:DogoHLA	complete	NONE
NA19159	full:DogoHLA-no-graph	complete	NONE
NA19159	hprc:DogoHLA	complete	NONE
NA19159	hprc:DogoHLA-no-graph	complete	NONE
NA19159	asian_matched:DogoHLA	complete	NONE
NA19159	asian_matched:DogoHLA-no-graph	complete	NONE
HG02809	SpecHLA-IPD365-noFreq	complete	NONE
HG02809	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02809	T1K-four-field	complete	NONE
HG02809	full:DogoHLA	complete	NONE
HG02809	full:DogoHLA-no-graph	complete	NONE
HG02809	hprc:DogoHLA	complete	NONE
HG02809	hprc:DogoHLA-no-graph	complete	NONE
HG02809	asian_matched:DogoHLA	complete	NONE
HG02809	asian_matched:DogoHLA-no-graph	complete	NONE
HG02145	SpecHLA-IPD365-noFreq	complete	NONE
HG02145	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02145	T1K-four-field	complete	NONE
HG02145	full:DogoHLA	complete	NONE
HG02145	full:DogoHLA-no-graph	complete	NONE
HG02145	hprc:DogoHLA	complete	NONE
HG02145	hprc:DogoHLA-no-graph	complete	NONE
HG02145	asian_matched:DogoHLA	complete	NONE
HG02145	asian_matched:DogoHLA-no-graph	complete	NONE
NA19909	SpecHLA-IPD365-noFreq	complete	NONE
NA19909	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19909	T1K-four-field	complete	NONE
NA19909	full:DogoHLA	complete	NONE
NA19909	full:DogoHLA-no-graph	complete	NONE
NA19909	hprc:DogoHLA	complete	NONE
NA19909	hprc:DogoHLA-no-graph	complete	NONE
NA19909	asian_matched:DogoHLA	complete	NONE
